Date,Open,High,Low,Close,Adj Close,Volume
12/22/2016,19396.84961,19427.66992,19327.50977,19427.66992,19427.66992,113500000
12/26/2016,19394.41016,19432.48047,19385.93945,19396.64063,19396.64063,85500000
12/27/2016,19353.42969,19478.58008,19352.06055,19403.06055,19403.06055,110200000
12/28/2016,19392.10938,19442.13086,19364.73047,19401.7207,19401.7207,77700000
12/29/2016,19301.03906,19301.03906,19092.2207,19145.14063,19145.14063,163500000
12/30/2016,18997.67969,19176.81055,18991.58984,19114.36914,19114.36914,117800000
1/4/2017,19298.67969,19594.16016,19277.92969,19594.16016,19594.16016,163500000
1/5/2017,19602.09961,19615.40039,19473.2793,19520.68945,19520.68945,134500000
1/6/2017,19393.55078,19472.36914,19354.43945,19454.33008,19454.33008,119100000
1/10/2017,19414.83008,19484.90039,19255.34961,19301.43945,19301.43945,119100000
1/11/2017,19358.64063,19402.16992,19325.46094,19364.66992,19364.66992,119100000
1/12/2017,19300.18945,19300.18945,19069.01953,19134.69922,19134.69922,119100000
1/13/2017,19174.9707,19299.35938,19156.92969,19287.2793,19287.2793,119100000
1/16/2017,19219.13086,19255.41016,19061.26953,19095.24023,19095.24023,119100000
1/17/2017,19038.44922,19043.91016,18812.85938,18813.5293,18813.5293,119100000
1/18/2017,18753.96094,18941.24023,18650.33008,18894.36914,18894.36914,119100000
1/19/2017,19082.83008,19122.39063,18982.13086,19072.25,19072.25,170600000
1/20/2017,19059.15039,19176.85938,19040.19922,19137.91016,19137.91016,125800000
1/23/2017,18938.44922,19024.21094,18879.67969,18891.0293,18891.0293,124800000
1/24/2017,18817.41992,18915.69922,18783.16016,18787.99023,18787.99023,131500000
1/25/2017,19091.23047,19133.17969,18987.44922,19057.5,19057.5,125400000
1/26/2017,19260.66992,19405.23047,19232.46094,19402.39063,19402.39063,145200000
1/27/2017,19453.50977,19486.67969,19404.13086,19467.40039,19467.40039,134600000
1/30/2017,19371.2793,19390.9707,19295.80078,19368.84961,19368.84961,97800000
1/31/2017,19145.34961,19199.75,19041.33984,19041.33984,19041.33984,133900000
2/1/2017,18926.9707,19155.78906,18916.17969,19148.08008,19148.08008,131500000
2/2/2017,19152.78906,19170.63086,18866.80078,18914.58008,18914.58008,136500000
2/3/2017,18996.74023,19061.25977,18830.89063,18918.19922,18918.19922,140900000
2/6/2017,19069.7207,19075.57031,18899.40039,18976.71094,18976.71094,120500000
2/7/2017,18844.11914,18970.58008,18805.32031,18910.7793,18910.7793,106100000
2/8/2017,18951.16016,19009.24023,18875.57031,19007.59961,19007.59961,102900000
2/9/2017,18942.03906,18991.23047,18874.91016,18907.66992,18907.66992,130500000
2/10/2017,19216.74023,19395.99023,19193.57031,19378.92969,19378.92969,149400000
2/13/2017,19513.7793,19519.43945,19418.17969,19459.15039,19459.15039,117900000
2/14/2017,19478.85938,19501.00977,19232.84961,19238.98047,19238.98047,142800000
2/15/2017,19438.81055,19495.61914,19420,19437.98047,19437.98047,142800000
2/16/2017,19431.60938,19431.60938,19260.24023,19347.5293,19347.5293,137800000
2/17/2017,19228.74023,19275.39063,19173.5293,19234.61914,19234.61914,143600000
2/20/2017,19161.33008,19274.75,19115.10938,19251.08008,19251.08008,98900000
2/21/2017,19267.86914,19395.34961,19261.98047,19381.43945,19381.43945,100700000
2/22/2017,19419.2207,19419.2207,19329.2793,19379.86914,19379.86914,156700000
2/23/2017,19379.91992,19379.91992,19262.63086,19371.46094,19371.46094,140800000
2/24/2017,19232.10938,19381.09961,19219.58008,19283.53906,19283.53906,148900000
2/27/2017,19130.50977,19178.99023,18995.55078,19107.4707,19107.4707,124200000
2/28/2017,19194.67969,19267.99023,19118.99023,19118.99023,19118.99023,132900000
3/1/2017,19226.93945,19414.55078,19164.61914,19393.53906,19393.53906,132300000
3/2/2017,19624.82031,19668.00977,19564.80078,19564.80078,19564.80078,146200000
3/3/2017,19551.33984,19587.78906,19392.75,19469.16992,19469.16992,111000000
3/6/2017,19409.17969,19411.53906,19340.32031,19379.14063,19379.14063,88000000
3/7/2017,19337.18945,19375.08984,19317.09961,19344.15039,19344.15039,98800000
3/8/2017,19308.5293,19326.40039,19198.7793,19254.0293,19254.0293,103200000
3/9/2017,19343.06055,19350.19922,19262.98047,19318.58008,19318.58008,101100000
3/10/2017,19444.71094,19623.7207,19427.81055,19604.60938,19604.60938,155300000
3/13/2017,19545.74023,19656.48047,19531.50977,19633.75,19633.75,92600000
3/14/2017,19634.28906,19637.55078,19599.61914,19609.5,19609.5,123300000
